Company,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TSLA,2022-03-21,304.99334716796875,314.2833251953125,302.36334228515625,307.0533447265625,81981600,0.0,0.0
TSLA,2022-03-22,310.0,332.6199951171875,307.25,331.32666015625,105868500,0.0,0.0
TSLA,2022-03-23,326.64666748046875,346.8999938964844,325.4666748046875,333.03668212890625,120676200,0.0,0.0
TSLA,2022-03-24,336.57666015625,341.4966735839844,329.6000061035156,337.97332763671875,68920800,0.0,0.0
TSLA,2022-03-25,336.0,340.6000061035156,332.44000244140625,336.8800048828125,62031600,0.0,0.0
TSLA,2022-03-28,355.0333251953125,365.9599914550781,351.20001220703125,363.9466552734375,102506100,0.0,0.0
TSLA,2022-03-29,369.3299865722656,371.5899963378906,357.7033386230469,366.5233459472656,73614900,0.0,0.0
TSLA,2022-03-30,363.72332763671875,371.3166809082031,361.3333435058594,364.663330078125,59865000,0.0,0.0
TSLA,2022-03-31,364.8566589355469,367.71331787109375,358.8800048828125,359.20001220703125,48992700,0.0,0.0
TSLA,2022-04-01,360.3833312988281,364.9166564941406,355.5466613769531,361.5299987792969,54263100,0.0,0.0
TSLA,2022-04-04,363.1266784667969,383.3033447265625,357.510009765625,381.8166809082031,82035900,0.0,0.0
TSLA,2022-04-05,378.76666259765625,384.2900085449219,362.4333190917969,363.7533264160156,80075100,0.0,0.0
TSLA,2022-04-06,357.8233337402344,359.6666564941406,342.5666809082031,348.586669921875,89348400,0.0,0.0
TSLA,2022-04-07,350.7966613769531,358.86334228515625,340.5133361816406,352.4200134277344,79447200,0.0,0.0
TSLA,2022-04-08,347.7366638183594,349.4800109863281,340.8133239746094,341.8299865722656,55013700,0.0,0.0
TSLA,2022-04-11,326.79998779296875,336.15667724609375,324.8800048828125,325.30999755859375,59357100,0.0,0.0
TSLA,2022-04-12,332.5466613769531,340.39666748046875,325.5333251953125,328.98333740234375,65976000,0.0,0.0
TSLA,2022-04-13,327.02667236328125,342.0799865722656,324.3666687011719,340.7900085449219,55121100,0.0,0.0
TSLA,2022-04-14,333.0966796875,337.57000732421875,327.39666748046875,328.3333435058594,58422300,0.0,0.0
TSLA,2022-04-18,329.6766662597656,338.3066711425781,324.4700012207031,334.7633361816406,51715200,0.0,0.0
TSLA,2022-04-19,335.0199890136719,344.9800109863281,331.77667236328125,342.7166748046875,49847700,0.0,0.0
TSLA,2022-04-20,343.3333435058594,344.6666564941406,325.0833435058594,325.73333740234375,70711200,0.0,0.0
TSLA,2022-04-21,358.24334716796875,364.0733337402344,332.1400146484375,336.260009765625,105416400,0.0,0.0
TSLA,2022-04-22,338.3033447265625,344.95001220703125,331.3333435058594,335.01666259765625,69696600,0.0,0.0
TSLA,2022-04-25,326.3233337402344,336.2066650390625,325.1000061035156,332.67333984375,68341200,0.0,0.0
TSLA,2022-04-26,331.80999755859375,333.3333435058594,291.6666564941406,292.1400146484375,136133700,0.0,0.0
TSLA,2022-04-27,299.52667236328125,306.0,292.4533386230469,293.836669921875,76956300,0.0,0.0
TSLA,2022-04-28,299.99334716796875,300.0,273.8999938964844,292.5033264160156,124948500,0.0,0.0
TSLA,2022-04-29,300.75,311.4666748046875,290.0,290.2533264160156,88133100,0.0,0.0
TSLA,2022-05-02,286.92333984375,302.1199951171875,282.6766662597656,300.9800109863281,75781500,0.0,0.0
TSLA,2022-05-03,301.05999755859375,308.02667236328125,296.1966552734375,303.0833435058594,63709500,0.0,0.0
TSLA,2022-05-04,301.3133239746094,318.5,295.09332275390625,317.5400085449219,81643800,0.0,0.0
TSLA,2022-05-05,313.00665283203125,315.20001220703125,285.8999938964844,291.09332275390625,92519100,0.0,0.0
TSLA,2022-05-06,295.6666564941406,296.0,281.03668212890625,288.54998779296875,72903000,0.0,0.0
TSLA,2022-05-09,278.8166809082031,281.8766784667969,260.3833312988281,262.3699951171875,90810300,0.0,0.0
TSLA,2022-05-10,273.10333251953125,275.1199951171875,258.0833435058594,266.67999267578125,84401700,0.0,0.0
TSLA,2022-05-11,265.0,269.92333984375,242.39999389648438,244.6666717529297,97224600,0.0,0.0
TSLA,2022-05-12,233.6666717529297,253.22000122070312,226.6666717529297,242.6666717529297,140313000,0.0,0.0
TSLA,2022-05-13,257.82666015625,262.45001220703125,250.52333068847656,256.5299987792969,92150700,0.0,0.0
TSLA,2022-05-16,255.72000122070312,256.586669921875,239.69667053222656,241.4566650390625,86098500,0.0,0.0
TSLA,2022-05-17,249.1199951171875,254.82666015625,242.9499969482422,253.8699951171875,80236200,0.0,0.0
TSLA,2022-05-18,248.17333984375,253.5,233.60333251953125,236.60333251953125,87811800,0.0,0.0
TSLA,2022-05-19,235.6666717529297,244.6666717529297,231.3699951171875,236.47332763671875,90296700,0.0,0.0
TSLA,2022-05-20,237.99667358398438,240.52667236328125,211.0,221.3000030517578,144973200,0.0,0.0
TSLA,2022-05-23,218.33999633789062,226.65333557128906,212.68666076660156,224.96665954589844,88903500,0.0,0.0
TSLA,2022-05-24,217.8433380126953,217.97332763671875,206.85667419433594,209.3866729736328,89092500,0.0,0.0
TSLA,2022-05-25,207.9499969482422,223.10667419433594,207.6699981689453,219.60000610351562,92139300,0.0,0.0
TSLA,2022-05-26,220.47332763671875,239.55667114257812,217.8866729736328,235.91000366210938,106003200,0.0,0.0
TSLA,2022-05-27,241.0833282470703,253.26666259765625,240.17666625976562,253.2100067138672,89295000,0.0,0.0
TSLA,2022-05-31,257.9466552734375,259.6000061035156,244.7433319091797,252.75332641601562,101914500,0.0,0.0
TSLA,2022-06-01,251.72000122070312,257.32666015625,243.63999938964844,246.7899932861328,77247900,0.0,0.0
TSLA,2022-06-02,244.1566619873047,264.2099914550781,242.06666564941406,258.3333435058594,93473100,0.0,0.0
TSLA,2022-06-03,243.22666931152344,247.79666137695312,233.4166717529297,234.51666259765625,112393800,0.0,0.0
TSLA,2022-06-06,244.35333251953125,244.86666870117188,234.35000610351562,238.27999877929688,84204600,0.0,0.0
TSLA,2022-06-07,234.0,239.99667358398438,230.0933380126953,238.8866729736328,72808500,0.0,0.0
TSLA,2022-06-08,240.086669921875,249.9633331298828,239.17666625976562,241.86666870117188,76210500,0.0,0.0
TSLA,2022-06-09,249.33999633789062,255.54666137695312,239.32666015625,239.7066650390625,96491400,0.0,0.0
TSLA,2022-06-10,235.1566619873047,239.5,227.913330078125,232.22999572753906,97536600,0.0,0.0
TSLA,2022-06-13,223.1666717529297,226.63333129882812,214.68333435058594,215.73666381835938,102767400,0.0,0.0
TSLA,2022-06-14,218.2866668701172,226.3300018310547,211.73666381835938,220.88999938964844,97988700,0.0,0.0
TSLA,2022-06-15,220.9166717529297,235.663330078125,218.14999389648438,233.0,119131800,0.0,0.0
TSLA,2022-06-16,222.73666381835938,225.1666717529297,208.69332885742188,213.10000610351562,107390700,0.0,0.0
TSLA,2022-06-17,213.43333435058594,220.97000122070312,213.19667053222656,216.75999450683594,92641800,0.0,0.0
TSLA,2022-06-21,224.60333251953125,243.57666015625,224.3333282470703,237.0366668701172,122793000,0.0,0.0
